DocName,Author_original,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Wikidata ID,sex or gender,country of citizenship,ethnic group,field of work,occupation,position held,religion or worldview,"languages spoken, written or signed",movement,member of,Number of authors,Date,Title,Pages,Source
E000003.001,"D'Alembert, Jean le Rond",Jean le Rond d'Alembert,,,,,,Q153232,male,"France, Kingdom of France",,"mathematics, mechanics","philosopher, mathematician, physicist, musicologist, translator, writer, music theorist, encyclopédistes, engineer, astronomer, lexicographer, intellectual","Luettelo Ranskan akatemian pääsihteereistä, seat 25 of the Académie française",atheism,French,,"Royal Society, Académie Française, Royal Prussian Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Royal Norwegian Society of Sciences and Letters, Royal Swedish Academy of Letters, History and Antiquities, Academy of Sciences of Turin",1,1766,An account of the destructions of the Jesuits in France,NA,Gutenberg
E000004.001,"D'Alembert, Jean le Rond and Denis Diderot",Jean le Rond d'Alembert,,,,,,Q153232,male,"France, Kingdom of France",,"mathematics, mechanics","philosopher, mathematician, physicist, musicologist, translator, writer, music theorist, encyclopédistes, engineer, astronomer, lexicographer, intellectual","Luettelo Ranskan akatemian pääsihteereistä, seat 25 of the Académie française",atheism,French,,"Royal Society, Académie Française, Royal Prussian Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Royal Norwegian Society of Sciences and Letters, Royal Swedish Academy of Letters, History and Antiquities, Academy of Sciences of Turin",1,NA,Encyclopedic liberty: Political articles in the Encyclopedia of Diderot and D'Alembert,NA,Liberty Fund
E000005.001,"D'Alembert, Jean le Rond",Jean le Rond d'Alembert,,,,,,Q153232,male,"France, Kingdom of France",,"mathematics, mechanics","philosopher, mathematician, physicist, musicologist, translator, writer, music theorist, encyclopédistes, engineer, astronomer, lexicographer, intellectual","Luettelo Ranskan akatemian pääsihteereistä, seat 25 of the Académie française",atheism,French,,"Royal Society, Académie Française, Royal Prussian Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Royal Norwegian Society of Sciences and Letters, Royal Swedish Academy of Letters, History and Antiquities, Academy of Sciences of Turin",1,1751,Preliminary Discourse to the Encyclopedia,NA,UMich
E000006.001,"Bacon, Sir Francis",Francis Bacon,,,,,,Q37388,male,Kingdom of England,English people,"philosophy, scientist, philosopher, politician","philosopher, writer, judge, politician, lawyer, astrologer","Member of Parliament in the Parliament of England, Attorney General for England and Wales, Member of the 1572-83 Parliament, Member of the 1584-85 Parliament, Member of the 1586-87 Parliament, Member of the 1589 Parliament, Member of the 1593 Parliament, Member of the 1597-98 Parliament, Member of the 1601 Parliament, Member of the 1604-11 Parliament, Member of the 1614 Parliament, Lord Chancellor",Anglicanism,"Latin, English",empiricism,Gray's Inn,1,NA,Novum Organon,NA,Liberty Fund
E000007.001,"Beccaria, Cesare",Cesare Beccaria,,,,,,Q223723,male,,,,"philosopher, jurist, criminologist, economist",,,Italian,Italian romanticism,Accademia dei Pugni,1,1764,An Essay on Crimes and Punishments,NA,Liberty Fund
E000008.001,"Behn, Aphra",Aphra Beh,,,,,,Q231886,female,Kingdom of England,,poetry,"playwright, translator, poet, writer, novelist, women's rights activist",,,English,,,1,1689,"The history of the nun; or, the fair vow-breaker",NA,Gutenberg
E000009.001,"Behn, Aphra",Aphra Beh,,,,,,Q231886,female,Kingdom of England,,poetry,"playwright, translator, poet, writer, novelist, women's rights activist",,,English,,,1,1688,Oroonoko; or the royal slave,NA,Gutenberg
E000010.001,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,1789,An introduction to the principles of morals and legislation,NA,Liberty Fund
E000011.001,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,NA,The works,NA,Liberty Fund
E000011.002,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,NA,The works,NA,Liberty Fund
E000011.003,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,NA,The works,NA,Liberty Fund
E000011.004,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,NA,The works,NA,Liberty Fund
E000011.005,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,NA,The works,NA,Liberty Fund
E000011.006,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,NA,The works,NA,Liberty Fund
E000011.007,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,NA,The works,NA,Liberty Fund
E000011.008,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,NA,The works,NA,Liberty Fund
E000011.009,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,NA,The works,NA,Liberty Fund
E000011.010,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,NA,The works,NA,Liberty Fund
E000011.011,"Bentham, Jeremy",Jeremy Bentham,,,,,,Q60887,male,"Great Britain, French First Republic, United Kingdom of Great Britain and Ireland",,philosophy,lawyer,,deism,"English, French",utilitarianism,,1,NA,The works,NA,Liberty Fund
E000012.001,"Blackmore, Richard",Richard Blackmore,,,,,,Q1143200,male,Great Britain,,,"poet, physician, writer",,,English,,,1,1716,Essay upon wit,NA,Gutenberg
E000013.001,Blackstone,William Blackstone,,,,,,Q332449,male,Great Britain,,,"judge, barrister, university teacher, politician, writer","Justice of the Common Pleas, Justice of the King's Bench, Queen's Counsel, serjeant-at-law, Member of the 13th Parliament of Great Britain, Member of the 12th Parliament of Great Britain",,English,,Middle Temple,1,1770,A commentary on the laws of England,NA,Liberty Fund
E000014.001,Burlamaqui,Jean-Jacques Burlamaqui,,,,,,Q966930,male,Republic of Geneva,,,"philosopher, lawyer",,,French,,"Council of Two Hundred, Conseil des Soixante, Chliine Root",1,1747,The principles of natural and politic law,NA,Liberty Fund
E000015.001,"Burns, Robert",Robert Burns,,,,,,Q81960,male,Great Britain,Scottish people,poetry,"songwriter, poet, writer, musicologist, farmer",,,"Scots, English",Romanticism,,1,1796,Poems and songs of Robert Burns,NA,Gutenberg
E000016.001,"Chapone, Hester",Hester Chapone,,,,,,Q1796535,female,,,,writer,,,English,,,1,1774,Letters on the improvement of the mind,NA,Gutenberg
E000017.001,"Clarkson, Thomas",Thomas Clarkson,,,,,,Q2032151,male,United Kingdom of Great Britain and Ireland,,,"writer, politician, abolitionist",,Anglicanism,English,,,1,1786,An essay on the slavery and commerce of the human species,NA,Liberty Fund
E000018.001,"Cleland, John",John Cleland,,,,,,Q460861,male,Great Britain,,,"writer, novelist",,,English,,,1,1749,Memoirs of a woman of pleasure,NA,Gutenberg
E000019.001,"Coleridge, Samuel Taylor and William Wordsworth",William Wordsworth,,,,,,Q45546,male,"United Kingdom of Great Britain and Ireland, Great Britain",English people,,"poet, lyricist, writer",Poet Laureate of the United Kingdom,Anglicanism,English,,,1,1798,"Lyrical ballads, with a few other peoms",NA,Gutenberg
E000020.001,"Condorcet, Marie-Jean-Antoine-Nicolas Caritat, Marquis de",Jean-Antoine-Nicolas de Caritat de Condorcet,,,,,,Q201477,male,France,,mathematics,"philosopher, mathematician, economist, politician, political scientist, biographer, sociologist, writer","member of the French National Assembly, Perpetual Secretary, seat 39 of the Académie française",atheism,French,,"Académie Française, Royal Swedish Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Russian Academy of Sciences, Royal Prussian Academy of Sciences, Accademia Nazionale delle Scienze detta dei XL, University of Cádiz, Academy of Sciences of Turin",1,1790,On the admission of women to the rights of citizenship,NA,Liberty Fund
E000021.001,"Condorcet, Marie-Jean-Antoine-Nicolas Caritat, Marquis de",Jean-Antoine-Nicolas de Caritat de Condorcet,,,,,,Q201477,male,France,,mathematics,"philosopher, mathematician, economist, politician, political scientist, biographer, sociologist, writer","member of the French National Assembly, Perpetual Secretary, seat 39 of the Académie française",atheism,French,,"Académie Française, Royal Swedish Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Russian Academy of Sciences, Royal Prussian Academy of Sciences, Accademia Nazionale delle Scienze detta dei XL, University of Cádiz, Academy of Sciences of Turin",1,1795,Outlines of an historical view of the progress of the human mind,NA,Liberty Fund
E000022.001,"Darwin, Erasmus",Erasmus Darwin,,,,,,Q234050,male,United Kingdom of Great Britain and Ireland,,"medicine, botany, biology, poetry","biologist, physician, botanist, physician writer, philosopher, entomologist, poet, physiologist, naturalist, writer",,,English,,Royal Society,1,1798,A plan of conduct for female education,NA,TCP
E000023.001,"Diderot, Denis",Denis Diderot,,,,,,Q448,male,"Kingdom of France, France",,performing arts,"philosopher, novelist, essayist, encyclopédistes, art critic, playwright, literary critic, correspondent, translator, historian, political scientist, lexicographer, writer, abbé, Seraphic Doctor, art theorist, literary theorist",,,French,"encyclopédistes, materialism","Royal Prussian Academy of Sciences, Russian Academy of Sciences, Saint Petersburg Academy of Sciences",1,1749,Les Bijoux Indiscrets,NA,Gutenberg
E000024.001,"Dryden, John",John Dryden,,,,,,Q213355,male,Kingdom of England,English people,,"playwright, translator, poet, literary critic, hymnwriter, writer",Poet Laureate of the United Kingdom,Catholic Church,English,,Royal Society,1,NA,The poetical works,NA,Gutenberg
E000024.002,"Dryden, John",John Dryden,,,,,,Q213355,male,Kingdom of England,English people,,"playwright, translator, poet, literary critic, hymnwriter, writer",Poet Laureate of the United Kingdom,Catholic Church,English,,Royal Society,1,NA,The poetical works,NA,Gutenberg
E000025.001,"Edgeworth, Maria",Maria Edgeworth,,,,,,Q237575,female,United Kingdom of Great Britain and Ireland,,essay,"essayist, novelist, children's writer, writer",,,English,,,1,1801,Belinda,NA,Gutenberg
E000026.001,"Edgeworth, Maria",Maria Edgeworth,,,,,,Q237575,female,United Kingdom of Great Britain and Ireland,,essay,"essayist, novelist, children's writer, writer",,,English,,,1,1800,Castle Rackrent,NA,Gutenberg
E000027.001,"Edgeworth, Maria",Maria Edgeworth,,,,,,Q237575,female,United Kingdom of Great Britain and Ireland,,essay,"essayist, novelist, children's writer, writer",,,English,,,1,1798,Practical education,NA,Gutenberg
E000027.002,"Edgeworth, Maria",Maria Edgeworth,,,,,,Q237575,female,United Kingdom of Great Britain and Ireland,,essay,"essayist, novelist, children's writer, writer",,,English,,,1,1798,Practical education,NA,Gutenberg
E000028.001,"Edwards, Jonathan",Jonathan Edwards,,,,,,Q313073,male,British America,,,"theologian, philosopher, writer, Christian minister",,"Calvinism, Congregationalism in the United States",English,First Great Awakening,,1,NA,Selected sermons,NA,Gutenberg
E000029.001,"Fielding, Henry, 1707-1754.",Henry Fielding,,,,,,Q34190,male,Great Britain,English people,,"writer, journalist, jurist, judge, novelist, playwright, poet lawyer, magistrate, justice of the peace",judge,,English,,,1,1751,Amelia,NA,Gutenberg
E000030.001,"Fielding, Henry, 1707-1754.",Henry Fielding,,,,,,Q34190,male,Great Britain,English people,,"writer, journalist, jurist, judge, novelist, playwright, poet lawyer, magistrate, justice of the peace",judge,,English,,,1,1742,Joseph Andrews,NA,Gutenberg
E000030.002,"Fielding, Henry, 1707-1754.",Henry Fielding,,,,,,Q34190,male,Great Britain,English people,,"writer, journalist, jurist, judge, novelist, playwright, poet lawyer, magistrate, justice of the peace",judge,,English,,,1,1742,Joseph Andrews,NA,Gutenberg
E000031.001,"Fielding, Sarah",Sarah Fielding,,,,,,Q467935,female,England,,,"writer, translator, novelist, literary critic",,,English,,,1,1749,"The governess; or, the little female academy",NA,Gutenberg
E000032.001,"Fielding, Sarah",Sarah Fielding,,,,,,Q467935,female,England,,,"writer, translator, novelist, literary critic",,,English,,,1,1749,Remarks on Clarissa,NA,Gutenberg
E000033.001,"Fordyce, David",David Fordyce,,,,,,Q3017907,male,Great Britain,,,"philosopher, theologian",,,English,,,1,1754,The elements of moral philosophy,NA,Liberty Fund
E000034.001,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000034.002,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000034.003,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000034.004,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000034.005,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000034.006,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000034.007,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000034.008,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000034.009,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000034.010,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000034.011,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000034.012,"Franklin, Benjamin",Benjamin Franklin,,,,,,Q34969,male,"British America, United States of America",,physics,"politician, diplomat, writer","United States Ambassador to France, United States Ambassador to Sweden, United States Postmaster General, Speaker of the Pennsylvania House of Representatives, President of the Supreme Executive Council of Pennsylvania, member of the Pennsylvania House of Representatives",deism,English,,"Royal Society, American Philosophical Society, Saint Petersburg Academy of Sciences, French Academy of Sciences, American Academy of Arts and Sciences, Pennsylvania Abolition Society, Société d'agriculture de Paris, Accademia Nazionale delle Scienze detta dei XL, Academy of Sciences of Turin",1,NA,The works of Benjamin Franklin,NA,Liberty Fund
E000035.001,"Godwin, William",William Godwin,,,,,,Q188569,male,"United Kingdom of Great Britain and Ireland, Great Britain",,"Philosophical anarchism, political philosophy","writer, political philosopher, novelist, philosopher, journalist, science fiction writer",,atheism,English,,,1,1794,Caleb Williams,NA,Gutenberg
E000036.001,"Godwin, William, 1756-1836.",William Godwin,,,,,,Q188569,male,"United Kingdom of Great Britain and Ireland, Great Britain",,"Philosophical anarchism, political philosophy","writer, political philosopher, novelist, philosopher, journalist, science fiction writer",,atheism,English,,,1,1793,Political justice,NA,Liberty Fund
E000036.002,"Godwin, William, 1756-1836.",William Godwin,,,,,,Q188569,male,"United Kingdom of Great Britain and Ireland, Great Britain",,"Philosophical anarchism, political philosophy","writer, political philosopher, novelist, philosopher, journalist, science fiction writer",,atheism,English,,,1,1793,Political justice,NA,Liberty Fund
E000037.001,"Godwin, William",William Godwin,,,,,,Q188569,male,"United Kingdom of Great Britain and Ireland, Great Britain",,"Philosophical anarchism, political philosophy","writer, political philosopher, novelist, philosopher, journalist, science fiction writer",,atheism,English,,,1,1797,The enquirer,NA,Anarchy Archives
E000038.001,"Goethe, Johann Wolfgang von",Johann Wolfgang von Goethe,,,,,,Q5879,male,Saxe-Weimar-Eisenach,Germans,"anatomy, meteorology, geology, physics","theatre manager, botanist, politician, painter, philosopher, theologian, jurist, art critic, music critic, librarian, poet, travel writer, physicist, literary, novelist, playwright, autobiographer, diplomat, statesperson, polymath, aphorist, diarist, mineralogist, zoologist, art theorist, lawyer, composer, librettist, writer, visual artist, art historian",Geheimrat,Lutheranism,German,"Sturm und Drang, Weimar Classicism, Age of Enlightenment","German Academy of Sciences Leopoldina, Academy of Science for Public Utility, Bavarian Academy of Sciences and Humanities, Göttingen Academy of Sciences, Royal Prussian Academy of Sciences, German Archaeological Institute, freemasonry, Zentral-Dombauverein zu Köln von 1842, Silesian Society for Patriotic Culture, Warsaw Society of Friends of Learning, Russian Academy of Sciences, Silesian Society for Patriotic Culture, Sächsischer Kunstverein",1,1774,The sorrows of young Werther,NA,Liberty Fund
E000039.001,"Hays, Mary",Mary Hays,,,,,,Q1797831,female,"United Kingdom of Great Britain and Ireland, Great Britain",,,"novelist, writer",,,English,,,1,1796,The memoirs of Emma Courtney,NA,Gutenberg
