TCP,EEBO,VID,STC,Status,main_author,field of work,movement,lifestyle,owner of,notable work,influenced by,British Museum person or institution ID,Oxford Dictionary of National Biography ID,WomenWriters ID,cause of death,country of citizenship,employer,ethnic group,image,member of,native language,occupation,place of burial,political party,position held,religion,sex or gender,spouse,unmarried partner,Author 1,Author 2,Author 3,Author 4,Author 5,Author 6,Author_original,Number of authors,Date,Title,Terms,Pages,Source,total_words,discrete_count,variance,total_ngrams,discrete_ngrams,ngram_variance,principles
E000003.001,,,,,Jean Le Rond d'Alembert,"mathematics, mechanics",,,,"D'Alembert's paradox, d'Alembert operator, Encyclopédie",,24273,,,,France,,,"Jean Le Rond d'Alembert, by French school.jpg","Royal Society, Académie Française, Royal Prussian Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Royal Norwegian Society of Sciences and Letters, Royal Swedish Academy of Letters, History and Antiquities, Academy of Sciences of Turin",French,"philosopher, mathematician, physicist, musicologist, translator, writer, music theorist, Encyclopédistes, engineer, astronomer, lexicographer",Catacombs of Paris,,"Luettelo Ranskan akatemian pääsihteereistä, seat 25 of the Académie française",atheism,male,,,Jean Le Rond d'Alembert,,,,,,"D'Alembert, Jean le Rond",,1766.0,An account of the destructions of the Jesuits in France,,,Gutenberg,28718,4016,0.13984260742391533,28717,17422,0.6066789706445659,11
E000004.001,,,,,Denis Diderot,performing arts,"Encyclopédistes, materialism",,,Jacques the Fatalist,"Aristotelis, Benedictus de Spinoza, Voltaire",25247,,4aa9616b-6b6c-429b-8077-0e4e0d61316f,,"Kingdom of France, France",,French people,Louis-Michel van Loo 001.jpg,"Royal Prussian Academy of Sciences, Russian Academy of Sciences, Saint Petersburg Academy of Sciences",French,"philosopher, novelist, essayist, Encyclopédistes, art critic, playwright, literary critic, correspondent, translator, historian, political scientist, lexicographer",Saint-Roch,,,atheist,male,Anne-Antoinette Diderot,,Jean Le Rond d'Alembert,Denis Diderot,,,,,"D'Alembert, Jean le Rond and Denis Diderot",,,Encyclopedic liberty: Political articles in the Encyclopedia of Diderot and D'Alembert,,,Liberty Fund,240743,16676,0.0692688883996627,240742,111145,0.4616768158443479,210
E000005.001,,,,,Jean Le Rond d'Alembert,"mathematics, mechanics",,,,"D'Alembert's paradox, d'Alembert operator, Encyclopédie",,24273,,,,France,,,"Jean Le Rond d'Alembert, by French school.jpg","Royal Society, Académie Française, Royal Prussian Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Royal Norwegian Society of Sciences and Letters, Royal Swedish Academy of Letters, History and Antiquities, Academy of Sciences of Turin",French,"philosopher, mathematician, physicist, musicologist, translator, writer, music theorist, Encyclopédistes, engineer, astronomer, lexicographer",Catacombs of Paris,,"Luettelo Ranskan akatemian pääsihteereistä, seat 25 of the Académie française",atheism,male,,,Jean Le Rond d'Alembert,,,,,,"D'Alembert, Jean le Rond",,1751.0,Preliminary Discourse to the Encyclopedia,,,UMich,41717,4498,0.10782175132440013,41716,23493,0.563165212388532,59
E000006.001,,,,,Francis Bacon,"philosophy, scientist, philosopher, politician",empiricism,,,,,103266,990.0,,pneumonia,Kingdom of England,,,Somer Francis Bacon.jpg,Gray's Inn,,"philosopher, writer, judge, politician, lawyer, astrologer",Hertfordshire,,"Member of Parliament in the Parliament of England, Attorney General for England and Wales, Member of the 1572-83 Parliament, Member of the 1584-85 Parliament, Member of the 1586-87 Parliament, Member of the 1589 Parliament, Member of the 1593 Parliament, Member of the 1597-98 Parliament, Member of the 1601 Parliament, Member of the 1604-11 Parliament, Member of the 1614 Parliament",Anglicanism,male,Alice Barnham,,Francis Bacon,,,,,,"Bacon, Sir Francis",,,Novum Organon,,,Liberty Fund,91707,8209,0.08951334140251017,91706,47633,0.5194098532266155,49
E000007.001,,,,,Cesare Beccaria,,Italian romanticism,,,,,,,,stroke,,University of Milan,,Cesare Beccaria.jpg,Accademia dei Pugni,,"philosopher, jurist, economist, criminologist",Mojazza Cemetery,,,,male,,,Cesare Beccaria,,,,,,"Beccaria, Cesare",,1764.0,An Essay on Crimes and Punishments,,,Liberty Fund,41289,5158,0.12492431398193224,41288,24082,0.5832687463669831,35
E000008.001,,,,,Aphra Behn,poetry,,,,"Oroonoko, The Forc'd Marriage, The Dutch Lover, Abdelazer, The Town Fop or, Sir Timothy Tawdry, The Rover, The Feign'd Curtizans, The City Heiress, The Luckey Chance, The Emperor of the Moon, The Widow Ranter, or, the History of Bacon in Virginia, The Younger Brother, or, The Amorous Jilt, The Fair Jilt, Agnes de Castro, or, the Force of Generous Love, Love-Letters Between a Nobleman and His Sister, The History of the Nun",,84296,1961.0,9392bd37-5d3e-4d97-952b-71b696d36ef1,,United Kingdom,,,Aphra Behn by Peter Lely ca. 1670.jpg,,English,"playwright, translator, poet, writer, novelist, feminist",Westminster Abbey,,,,female,,William Scott,Aphra Behn,,,,,,"Behn, Aphra",,1689.0,"The history of the nun; or, the fair vow-breaker",,,Gutenberg,23021,2948,0.12805699144259589,23020,14415,0.6261946133796699,0
E000009.001,,,,,Aphra Behn,poetry,,,,"Oroonoko, The Forc'd Marriage, The Dutch Lover, Abdelazer, The Town Fop or, Sir Timothy Tawdry, The Rover, The Feign'd Curtizans, The City Heiress, The Luckey Chance, The Emperor of the Moon, The Widow Ranter, or, the History of Bacon in Virginia, The Younger Brother, or, The Amorous Jilt, The Fair Jilt, Agnes de Castro, or, the Force of Generous Love, Love-Letters Between a Nobleman and His Sister, The History of the Nun",,84296,1961.0,9392bd37-5d3e-4d97-952b-71b696d36ef1,,United Kingdom,,,Aphra Behn by Peter Lely ca. 1670.jpg,,English,"playwright, translator, poet, writer, novelist, feminist",Westminster Abbey,,,,female,,William Scott,Aphra Behn,,,,,,"Behn, Aphra",,1688.0,Oroonoko; or the royal slave,,,Gutenberg,30273,3877,0.12806791530406633,30272,19008,0.627906976744186,5
E000010.001,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,1789.0,An introduction to the principles of morals and legislation,,,Liberty Fund,135989,7365,0.05415879225525594,135988,50995,0.37499632320498866,202
E000011.001,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,,The works,,,Liberty Fund,529625,19656,0.03711305168751475,529624,174361,0.3292165762880836,551
E000011.002,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,,The works,,,Liberty Fund,514378,21354,0.04151421717102986,514377,173434,0.33717292958277684,248
E000011.003,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,,The works,,,Liberty Fund,541176,25404,0.04694221473236063,541175,184992,0.3418339723749249,326
E000011.004,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,,The works,,,Liberty Fund,534871,24152,0.04515481302968379,534870,189985,0.3551984594387421,386
E000011.005,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,,The works,,,Liberty Fund,555030,25912,0.04668576473343783,555029,193122,0.3479493864284569,363
E000011.006,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,,The works,,,Liberty Fund,523064,20237,0.038689338207179236,523063,157691,0.3014761128200618,245
E000011.007,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,,The works,,,Liberty Fund,562743,21380,0.037992476139196756,562742,173817,0.30887511506160903,264
E000011.008,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,,The works,,,Liberty Fund,551949,23046,0.04175385769337384,551948,180161,0.32640937189735264,503
E000011.009,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,,The works,,,Liberty Fund,562444,19173,0.034088727055493526,562443,166282,0.2956424028746024,356
E000011.010,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,,The works,,,Liberty Fund,436248,27554,0.06316132108342044,436247,183798,0.4213163643532219,210
E000011.011,,,,,Jeremy Bentham,philosophy,utilitarianism,,,,,19245,2153.0,,,United Kingdom of Great Britain and Ireland,,,Jeremy Bentham by Henry William Pickersgill detail.jpg,,,lawyer,,,,atheism,male,,,Jeremy Bentham,,,,,,"Bentham, Jeremy",,,The works,,,Liberty Fund,120918,11203,0.09264956416745232,120917,62397,0.5160316580795091,95
E000012.001,,,,,Richard Blackmore,,,,,,,84981,2528.0,,,Great Britain,,,Richard Blackmore.jpg,,,"poet, physician",Boxted (St. Peter) Churchyard And New Churchyard,,,,male,,,Richard Blackmore,,,,,,"Blackmore, Richard",,1716.0,Essay upon wit,,,Gutenberg,9161,2111,0.23043335880362406,9160,6892,0.7524017467248908,8
E000013.001,,,,,William Blackstone,,,,,Commentaries on the Laws of England,,84983,2536.0,,,"Great Britain, United Kingdom",University of Oxford,,William Blackstone.jpg,13th Parliament of Great Britain,,"judge, barrister, university teacher, lawyer, politician, writer","St Peter's Church, Wallingford",Tories,"Justice of the Common Pleas, Justice of the King's Bench, Queen's Counsel, serjeant-at-law, Member of the 13th Parliament of Great Britain, Member of the 12th Parliament of Great Britain",,male,,,William Blackstone,,,,,,Blackstone,,1770.0,A commentary on the laws of England,,,Liberty Fund,1154327,37539,0.03252024772876317,1154326,338228,0.2930090806236713,483
E000014.001,,,,,Jean-Jacques Burlamaqui,,,,,,,,,,,Republic of Geneva,,,Burlamaqui.jpg,"Council of Two Hundred, Conseil des Soixante, Chliine Root",,"philosopher, lawyer",,,,,male,,,Jean-Jacques Burlamaqui,,,,,,Burlamaqui,,1747.0,The principles of natural and politic law,,,Liberty Fund,639524,27696,0.04330720973724207,639523,219977,0.34397042795958865,330
E000015.001,,,,,Robert Burns,,Romanticism,,,"Auld Lang Syne, To a Mouse, Is There for Honest Poverty, Ae fond kiss, and then we sever..., Scots Wha Hae, Tam o' Shanter, Halloween, The Battle of Sherramuir",,104824,4093.0,,congenital heart disease,"Great Britain, United Kingdom",,Scottish people,Robert Burns 1.jpg,,,"songwriter, poet, writer, musicologist, farmer","St Michael's Church, Dumfries",,,,male,Jean Armour,,Robert Burns,,,,,,"Burns, Robert",,1796.0,Poems and songs of Robert Burns,,,Gutenberg,119289,14634,0.1226768603978573,119288,78954,0.6618771376835892,3
E000016.001,,,,,Hester Chapone,,,,,,,170103,5128.0,1604b929-5666-466a-a242-246cc1700d67,,,,,Hester Chapone.jpg,,,writer,,,,,female,John Chapone,,Hester Chapone,,,,,,"Chapone, Hester",,1774.0,Letters on the improvement of the mind,,,Gutenberg,43120,5387,0.124930426716141,43119,26289,0.609684825714882,26
E000017.001,,,,,Thomas Clarkson,,,,,,,120300,5545.0,,,United Kingdom of Great Britain and Ireland,,,Thomas Clarkson by Carl Frederik von Breda.jpg,,,"writer, politician, abolitionist",Suffolk,,,Anglicanism,male,,,Thomas Clarkson,,,,,,"Clarkson, Thomas",,1786.0,An essay on the slavery and commerce of the human species,,,Liberty Fund,52211,6001,0.11493746528509317,52210,28603,0.547845240375407,48
E000018.001,,,,,John Cleland,,,,,,,170218,5595.0,,,Great Britain,,,,,,"writer, novelist",St Margaret Lothbury,,,,male,,,John Cleland,,,,,,"Cleland, John",,1749.0,Memoirs of a woman of pleasure,,,Gutenberg,84627,8264,0.09765204958228461,84626,46502,0.5495001536170917,6
E000019.001,,,,,William Wordsworth,,,mysticism,,The Prelude,,51644,29973.0,,pneumonia,"United Kingdom of Great Britain and Ireland, Great Britain",,English people,Wordsworth on Helvellyn by Benjamin Robert Haydon.jpg,,English,"poet, lyricist, writer","St Oswald's Church, Grasmere",,Poet Laureate of the United Kingdom,Anglicanism,male,"Mary Hutchinson, Annette Vallon",Annette Vallon,Samuel Taylor Coleridge,William Wordsworth,,,,,"Coleridge, Samuel Taylor and William Wordsworth",,1798.0,"Lyrical ballads, with a few other peoms",,,Gutenberg,21478,3751,0.17464382158487754,21477,15719,0.7318992410485636,0
E000020.001,,,,,Jean-Antoine-Nicolas de Caritat de Condorcet,mathematics,,,,Esquisse d'un tableau historique des progrès de l'esprit humain,,151955,,,intoxication,France,,,Nicolas de Condorcet.PNG,"Académie Française, Royal Swedish Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Russian Academy of Sciences, Royal Prussian Academy of Sciences, Accademia Nazionale delle Scienze detta dei XL, University of Cádiz, Academy of Sciences of Turin",French,"philosopher, mathematician, economist, politician, political scientist, sociologist, writer, biographer",Panthéon,Girondists,"member of the French National Assembly, Perpetual Secretary, seat 39 of the Académie française",atheism,male,"Sophie de Condorcet, Sophie de Grouchy",,Jean-Antoine-Nicolas de Caritat de Condorcet,,,,,,"Condorcet, Marie-Jean-Antoine-Nicolas Caritat, Marquis de",,1790.0,On the admission of women to the rights of citizenship,,,Liberty Fund,3952,1129,0.2856781376518219,3951,3133,0.7929638066312326,12
E000021.001,,,,,Jean-Antoine-Nicolas de Caritat de Condorcet,mathematics,,,,Esquisse d'un tableau historique des progrès de l'esprit humain,,151955,,,intoxication,France,,,Nicolas de Condorcet.PNG,"Académie Française, Royal Swedish Academy of Sciences, French Academy of Sciences, Saint Petersburg Academy of Sciences, American Academy of Arts and Sciences, Russian Academy of Sciences, Royal Prussian Academy of Sciences, Accademia Nazionale delle Scienze detta dei XL, University of Cádiz, Academy of Sciences of Turin",French,"philosopher, mathematician, economist, politician, political scientist, sociologist, writer, biographer",Panthéon,Girondists,"member of the French National Assembly, Perpetual Secretary, seat 39 of the Académie française",atheism,male,"Sophie de Condorcet, Sophie de Grouchy",,Jean-Antoine-Nicolas de Caritat de Condorcet,,,,,,"Condorcet, Marie-Jean-Antoine-Nicolas Caritat, Marquis de",,1795.0,Outlines of an historical view of the progress of the human mind,,,Liberty Fund,68095,6551,0.09620383288053455,68094,36646,0.5381678268276207,102
E000022.001,,,,,Erasmus Darwin,"medicine, botany, biology, poetry",,,,,,68143,7177.0,,,United Kingdom of Great Britain and Ireland,,,Portrait of Erasmus Darwin by Joseph Wright of Derby (1792).jpg,Royal Society,,"biologist, physician, botanist, physician writer, philosopher, entomologist, poet, physiologist, naturalist",,,,,male,"Mary Howard, Elizabeth Colyear","Mary Parker, Lucy Swift",Erasmus Darwin,,,,,,"Darwin, Erasmus",,1798.0,A plan of conduct for female education,,,TCP,40636,7154,0.17605079240082686,40635,26868,0.661203396087117,11
E000023.001,,,,,Denis Diderot,performing arts,"Encyclopédistes, materialism",,,Jacques the Fatalist,"Aristotelis, Benedictus de Spinoza, Voltaire",25247,,4aa9616b-6b6c-429b-8077-0e4e0d61316f,,"Kingdom of France, France",,French people,Louis-Michel van Loo 001.jpg,"Royal Prussian Academy of Sciences, Russian Academy of Sciences, Saint Petersburg Academy of Sciences",French,"philosopher, novelist, essayist, Encyclopédistes, art critic, playwright, literary critic, correspondent, translator, historian, political scientist, lexicographer",Saint-Roch,,,atheist,male,Anne-Antoinette Diderot,,Denis Diderot,,,,,,"Diderot, Denis",,1749.0,Les Bijoux Indiscrets,,,Gutenberg,79258,8682,0.10954099270736077,79257,45006,0.5678488966274272,11
E000024.001,,,,,John Dryden,,,,,"The Wild Gallant, Essay of Dramatick Poesie",,25715,8108.0,,,Kingdom of England,,English people,"John Dryden (Richardson, c. 1730s).jpg",Royal Society,,"playwright, translator, poet, writer, literary critic, hymnwriter",Westminster Abbey,,Poet Laureate of the United Kingdom,Catholic Church,male,"Lady Elizabeth Howard, Lady Elizabeth Howard",,John Dryden,,,,,,"Dryden, John",,,The poetical works,,,Gutenberg,85902,10823,0.1259924099555307,85901,60594,0.705393418004447,19
E000024.002,,,,,John Dryden,,,,,"The Wild Gallant, Essay of Dramatick Poesie",,25715,8108.0,,,Kingdom of England,,English people,"John Dryden (Richardson, c. 1730s).jpg",Royal Society,,"playwright, translator, poet, writer, literary critic, hymnwriter",Westminster Abbey,,Poet Laureate of the United Kingdom,Catholic Church,male,"Lady Elizabeth Howard, Lady Elizabeth Howard",,John Dryden,,,,,,"Dryden, John",,,The poetical works,,,Gutenberg,97010,10858,0.11192660550458716,97009,63774,0.6574029213784288,6
E000025.001,,,,,Maria Edgeworth,essay,,,,"Belinda, Castle Rackrent, Comic Dramas, in Three Acts, Early Lessons, Essay on Irish Bulls, Frank: a Sequel to Frank in Early Lessons, Harrington, a Tale; and Ormond, a Tale, Harry and Lucy Concluded, Leonora, Letters for Literary Ladies, Moral Tales for Young People, Moral Tales, Patronage, Popular Tales, Practical Education, Readings on Poetry, Tales and Novels by Maria Edgeworth, Ormond, The Absentee, Tales of Fashionable Life, The Contrast, The Modern Griselda; a Tale, The Parent's Assistant, Tomorrow; or the Dangers of Delay, Works of Maria Edgeworth",,26159,8476.0,f518f16e-be58-467e-b47d-cd96b17eb772,,Ireland,,,Maria Edgeworth by John Downman 1807.jpg,,,"writer, essayist, novelist, children's writer",,,,,female,,,Maria Edgeworth,,,,,,"Edgeworth, Maria",,1801.0,Belinda,,,Gutenberg,178137,10567,0.05931951251003441,178136,75934,0.42626981632011496,18
E000026.001,,,,,Maria Edgeworth,essay,,,,"Belinda, Castle Rackrent, Comic Dramas, in Three Acts, Early Lessons, Essay on Irish Bulls, Frank: a Sequel to Frank in Early Lessons, Harrington, a Tale; and Ormond, a Tale, Harry and Lucy Concluded, Leonora, Letters for Literary Ladies, Moral Tales for Young People, Moral Tales, Patronage, Popular Tales, Practical Education, Readings on Poetry, Tales and Novels by Maria Edgeworth, Ormond, The Absentee, Tales of Fashionable Life, The Contrast, The Modern Griselda; a Tale, The Parent's Assistant, Tomorrow; or the Dangers of Delay, Works of Maria Edgeworth",,26159,8476.0,f518f16e-be58-467e-b47d-cd96b17eb772,,Ireland,,,Maria Edgeworth by John Downman 1807.jpg,,,"writer, essayist, novelist, children's writer",,,,,female,,,Maria Edgeworth,,,,,,"Edgeworth, Maria",,1800.0,Castle Rackrent,,,Gutenberg,45203,5596,0.12379709311328894,45202,26643,0.5894208220875182,2
