,term,score
200,preeminence,0.0
201,powerless,0.0
202,preeminently,0.0
203,practica,0.0
204,preferable,0.0
205,prefer,0.0
206,powerfully,0.0
207,predicating,0.0
208,praktischen,0.0
209,practicability,0.0
210,rendered,0.0
211,prefers,0.0
212,rendering,0.0
213,remuneratio,0.0
214,render,0.0
215,precedence,0.0
216,praise,0.0
217,preceded,0.0
218,precede,0.0
219,precept,0.0
220,praised,0.0
221,praising,0.0
222,precaution,0.0
223,precarious,0.0
224,preacher,0.0
225,preached,0.0
226,pravitas,0.0
227,pragmatically,0.0
228,precipitated,0.0
229,pratically,0.0
230,predetermined,0.0
231,practicable,0.0
232,practically,0.0
233,predicate,0.0
234,practice,0.0
235,removing,0.0
236,predeterminism,0.0
237,practices,0.0
238,precludes,0.0
239,precise,0.0
240,precision,0.0
241,precisely,0.0
242,practise,0.0
243,practised,0.0
244,practises,0.0
245,pragmatic,0.0
246,pragmatical,0.0
247,predicated,0.0
248,prepared,0.0
249,prefix,0.0
250,prefixed,0.0
251,priestley,0.0
252,pride,0.0
253,price,0.0
254,remission,0.0
255,prey,0.0
256,previously,0.0
257,remorse,0.0
258,previous,0.0
259,prevents,0.0
260,preventing,0.0
261,prevented,0.0
262,prevent,0.0
263,prevails,0.0
264,prevailed,0.0
265,prevail,0.0
266,pretext,0.0
267,pretention,0.0
268,pretension,0.0
269,pretended,0.0
270,primacy,0.0
271,primarily,0.0
272,primary,0.0
273,principiis,0.0
274,remember,0.0
275,prior,0.0
276,printing,0.0
277,printer,0.0
278,printed,0.0
279,print,0.0
280,principles,0.0
281,principiorum,0.0
282,principii,0.0
283,reminded,0.0
284,principally,0.0
285,remembered,0.0
286,principal,0.0
287,remembers,0.0
288,prince,0.0
289,primorum,0.0
290,primitive,0.0
291,prime,0.0
292,pretend,0.0
293,pretence,0.0
294,presupposition,0.0
295,remove,0.0
296,prerogative,0.0
297,removal,0.0
298,preposition,0.0
299,preponderate,0.0
300,preponderance,0.0
301,preparing,0.0
302,potentially,0.0
303,prepare,0.0
304,preparatory,0.0
305,prescribed,0.0
306,preparation,0.0
307,premiss,0.0
308,preliminary,0.0
309,prejudicial,0.0
310,prejudiced,0.0
311,prejudice,0.0
312,prejudge,0.0
313,removed,0.0
314,prescribe,0.0
315,prescribes,0.0
316,presupposing,0.0
317,presiding,0.0
318,presupposes,0.0
319,presupposed,0.0
320,presuppose,0.0
321,presumptuously,0.0
322,presumption,0.0
323,presumed,0.0
324,pressure,0.0
325,press,0.0
326,preserving,0.0
327,prescribing,0.0
328,preserver,0.0
329,preserved,0.0
330,preserve,0.0
331,presently,0.0
332,presenting,0.0
333,remote,0.0
334,presented,0.0
335,presence,0.0
336,pound,0.0
337,refuted,0.0
338,potential,0.0
339,pervert,0.0
340,phase,0.0
341,phantom,0.0
342,phalaris,0.0
343,petty,0.0
344,petitio,0.0
345,petechiæ,0.0
346,petat,0.0
347,perverted,0.0
348,repentance,0.0
349,repetition,0.0
350,potentia,0.0
351,perversity,0.0
352,perversitas,0.0
353,perversion,0.0
354,perverse,0.0
355,persuasively,0.0
356,persuasive,0.0
357,persuasion,0.0
358,replaced,0.0
359,persuaded,0.0
360,phenomenal,0.0
361,phenomenon,0.0
362,phil,0.0
363,philanthropist,0.0
364,physically,0.0
365,physical,0.0
366,physic,0.0
367,phys,0.0
368,repels,0.0
369,photographic,0.0
370,photograph,0.0
371,philsopher,0.0
372,philosophy,0.0
373,repensio,0.0
374,philosophize,0.0
375,philosophische,0.0
376,philosophically,0.0
377,philosophical,0.0
378,philosophia,0.0
379,philosopher,0.0
380,philos,0.0
381,philip,0.0
382,philautia,0.0
383,replied,0.0
384,persuade,0.0
385,personify,0.0
386,permissiva,0.0
387,permanent,0.0
388,permanence,0.0
389,perjuria,0.0
390,periuria,0.0
391,perishable,0.0
392,periodical,0.0
393,periodic,0.0
394,represent,0.0
395,period,0.0
396,peril,0.0
397,representation,0.0
398,perhaps,0.0
399,performs,0.0
400,performing,0.0
401,performer,0.0
402,representative,0.0
403,performed,0.0
404,performance,0.0
405,perform,0.0
406,permission,0.0
407,repose,0.0
408,personifies,0.0
409,permit,0.0
410,personified,0.0
411,reply,0.0
412,personality,0.0
413,personal,0.0
414,persist,0.0
415,persevered,0.0
416,report,0.0
417,perseverance,0.0
418,persecution,0.0
419,persecute,0.0
420,perplexity,0.0
421,perplexing,0.0
422,perplex,0.0
423,perpetually,0.0
424,reporting,0.0
425,perpetual,0.0
426,pernicious,0.0
427,permitting,0.0
428,permitted,0.0
429,physician,0.0
430,physiological,0.0
431,repect,0.0
432,portion,0.0
433,popular,0.0
434,pope,0.0
435,poor,0.0
436,ponsonby,0.0
437,ponens,0.0
438,ponderable,0.0
439,politics,0.0
440,political,0.0
441,repeat,0.0
442,politeness,0.0
443,politely,0.0
444,police,0.0
445,pole,0.0
446,poisonous,0.0
447,poisoner,0.0
448,pointing,0.0
449,pointed,0.0
450,point,0.0
451,poetry,0.0
452,popularity,0.0
453,portrait,0.0
454,poet,0.0
455,position,0.0
456,postulated,0.0
457,postulate,0.0
458,postponed,0.0
459,postpone,0.0
460,renounces,0.0
461,renouncing,0.0
462,post,0.0
463,possibly,0.0
464,possibility,0.0
465,possessor,0.0
466,possession,0.0
467,renunciation,0.0
468,possessing,0.0
469,possessed,0.0
470,possess,0.0
471,posse,0.0
472,positively,0.0
473,priority,0.0
474,repay,0.0
475,poetically,0.0
476,poem,0.0
477,phœnix,0.0
478,planetary,0.0
479,plan,0.0
480,plainly,0.0
481,plain,0.0
482,placing,0.0
483,placed,0.0
484,pivot,0.0
485,pity,0.0
486,pith,0.0
487,pique,0.0
488,pipe,0.0
489,pillow,0.0
490,pilgrimage,0.0
491,piety,0.0
492,pietism,0.0
493,repeating,0.0
494,piercing,0.0
495,piece,0.0
496,picture,0.0
497,phœnomenon,0.0
498,planet,0.0
499,plank,0.0
500,pocket,0.0
501,planning,0.0
502,plurality,0.0
503,plunge,0.0
504,pledged,0.0
505,pledge,0.0
506,pleasure,0.0
507,pleasing,0.0
508,pleased,0.0
509,please,0.0
510,pleasantness,0.0
511,pleasantly,0.0
512,pleasant,0.0
513,plea,0.0
514,played,0.0
515,play,0.0
516,repeated,0.0
517,plausible,0.0
518,plato,0.0
519,planted,0.0
520,plant,0.0
521,positive,0.0
522,proceed,0.0
523,privatdocent,0.0
524,rare,0.0
525,reiner,0.0
526,reinste,0.0
527,rationally,0.0
528,rationalist,0.0
529,rationalism,0.0
530,ratio,0.0
531,rather,0.0
532,rash,0.0
533,rarely,0.0
534,rapidly,0.0
535,rationes,0.0
536,reissued,0.0
537,rapid,0.0
538,rank,0.0
539,raking,0.0
540,reject,0.0
541,raising,0.0
542,rejected,0.0
543,rejecting,0.0
544,rejection,0.0
545,ratione,0.0
546,rd,0.0
547,reasonable,0.0
548,realise,0.0
549,really,0.0
550,realizing,0.0
551,realized,0.0
552,realize,0.0
553,reid,0.0
554,reimbursed,0.0
555,reality,0.0
556,realiter,0.0
557,realised,0.0
558,real,0.0
559,reach,0.0
560,ready,0.0
561,reading,0.0
562,rein,0.0
563,reader,0.0
564,read,0.0
565,reaction,0.0
566,reaching,0.0
567,reinen,0.0
568,reached,0.0
569,raised,0.0
570,raise,0.0
571,rain,0.0
572,qualitypractical,0.0
573,questionable,0.0
574,relating,0.0
575,quarterly,0.0
576,quarter,0.0
577,quarrel,0.0
578,quantitysubjective,0.0
579,quantitative,0.0
580,quando,0.0
581,quam,0.0
582,quality,0.0
583,rage,0.0
584,qualitative,0.0
585,qualifying,0.0
586,qualify,0.0
587,qualifies,0.0
588,qualified,0.0
589,relation,0.0
590,relationto,0.0
591,quacked,0.0
592,qua,0.0
593,questioned,0.0
594,questioning,0.0
595,qui,0.0
596,quicken,0.0
597,relapse,0.0
598,radical,0.0
599,race,0.0
600,quæ,0.0
601,relate,0.0
602,quâ,0.0
603,quoted,0.0
604,quote,0.0
605,quod,0.0
606,quo,0.0
607,quixote,0.0
608,quitting,0.0
609,quite,0.0
610,quit,0.0
611,related,0.0
612,quinceys,0.0
613,quincey,0.0
614,quiet,0.0
615,quid,0.0
616,reas,0.0
617,reich,0.0
618,puzzle,0.0
619,regret,0.0
620,regarding,0.0
621,redoubled,0.0
622,red,0.0
623,recurring,0.0
624,recurred,0.0
625,regimen,0.0
626,rectum,0.0
627,rectify,0.0
628,region,0.0
629,recover,0.0
630,reduced,0.0
631,recourse,0.0
632,recording,0.0
633,regular,0.0
634,record,0.0
635,reconciling,0.0
636,reconciled,0.0
637,regularity,0.0
638,regularly,0.0
639,reconcile,0.0
640,reduce,0.0
641,reduces,0.0
642,reasonably,0.0
643,reflects,0.0
644,refutation,0.0
645,refusing,0.0
646,refused,0.0
647,refuse,0.0
648,refuge,0.0
649,refrain,0.0
650,reformed,0.0
651,reformation,0.0
652,reform,0.0
653,reflection,0.0
654,reducing,0.0
655,reflecting,0.0
656,reflect,0.0
657,refinement,0.0
658,refined,0.0
659,refers,0.0
660,referring,0.0
661,referred,0.0
662,refer,0.0
663,reductum,0.0
664,reconcilable,0.0
665,recompense,0.0
666,recommends,0.0
667,rebus,0.0
668,recht,0.0
669,receptivity,0.0
670,recently,0.0
671,recent,0.0
672,receiving,0.0
673,receives,0.0
674,received,0.0
675,receive,0.0
676,recall,0.0
677,rebelliously,0.0
678,recommender,0.0
679,rebellious,0.0
680,regulative,0.0
681,rebellion,0.0
682,rebel,0.0
683,reatus,0.0
684,reasoning,0.0
685,rei,0.0
686,reasoner,0.0
687,reasoned,0.0
688,rechtlicher,0.0
689,rechts,0.0
690,regulating,0.0
691,rechtslehre,0.0
692,recommended,0.0
693,recommendation,0.0
694,recommend,0.0
695,recollection,0.0
696,recollect,0.0
697,recognizes,0.0
698,recognized,0.0
699,recognize,0.0
700,recognition,0.0
701,recognises,0.0
702,recognised,0.0
703,recognise,0.0
704,reckons,0.0
705,reckoning,0.0
706,regulated,0.0
707,reckoned,0.0
708,reckon,0.0
709,reciprocally,0.0
710,reciprocal,0.0
711,pæna,0.0
712,relative,0.0
713,private,0.0
714,prolong,0.0
715,reluctantly,0.0
716,promising,0.0
717,promised,0.0
718,rely,0.0
719,perfectissimum,0.0
720,prominent,0.0
721,remain,0.0
722,prolonging,0.0
723,prolonged,0.0
724,prolix,0.0
725,reluctant,0.0
726,projectile,0.0
727,projected,0.0
728,prohibitivæ,0.0
729,prohibitiva,0.0
730,prohibition,0.0
731,progressing,0.0
732,progress,0.0
733,programme,0.0
734,progeniem,0.0
735,promoting,0.0
736,prompt,0.0
737,propositions,0.0
738,relish,0.0
739,proposing,0.0
740,proposes,0.0
741,religious,0.0
742,propose,0.0
743,proposal,0.0
744,proportioned,0.0
745,proportionately,0.0
746,proportionate,0.0
747,proportion,0.0
748,property,0.0
749,pronounced,0.0
750,properly,0.0
751,proper,0.0
752,propensity,0.0
753,reluctance,0.0
754,propension,0.0
755,propensio,0.0
756,propagation,0.0
757,prop,0.0
758,proof,0.0
759,profoundest,0.0
760,profound,0.0
761,remainder,0.0
762,proceeded,0.0
763,remarkable,0.0
764,proclaims,0.0
765,proclaimed,0.0
766,process,0.0
767,proceeds,0.0
768,remarked,0.0
769,proceeding,0.0
770,remarking,0.0
771,remedy,0.0
772,refute,0.0
773,profitable,0.0
774,procedure,0.0
775,problematically,0.0
776,problematical,0.0
777,problem,0.0
778,probably,0.0
779,probability,0.0
780,proavos,0.0
781,prize,0.0
782,privilege,0.0
783,procure,0.0
784,procured,0.0
785,remark,0.0
786,procures,0.0
787,profit,0.0
788,professorship,0.0
789,professor,0.0
790,professional,0.0
791,profession,0.0
792,professing,0.0
793,professes,0.0
794,professedly,0.0
795,professed,0.0
796,prof,0.0
797,production,0.0
798,product,0.0
799,producing,0.0
800,remained,0.0
801,produced,0.0
802,produce,0.0
803,prodigality,0.0
804,prodigalitas,0.0
805,remaining,0.0
806,religionslehre,0.0
807,propounded,0.0
808,putting,0.0
809,pulpit,0.0
810,punishable,0.0
811,punish,0.0
812,punctuation,0.0
813,relaxation,0.0
814,punctually,0.0
815,punctuality,0.0
816,punctual,0.0
817,punctilious,0.0
818,pumice,0.0
819,pull,0.0
820,punishes,0.0
821,puffingup,0.0
822,pudori,0.0
823,published,0.0
824,publish,0.0
825,publicly,0.0
826,publication,0.0
827,release,0.0
828,public,0.0
829,publ,0.0
830,punished,0.0
831,punishment,0.0
832,propounds,0.0
833,relatively,0.0
834,puto,0.0
835,pushed,0.0
836,push,0.0
837,pursuit,0.0
838,pursued,0.0
839,pursue,0.0
840,purse,0.0
841,purposely,0.0
842,purposeless,0.0
843,purport,0.0
844,pupil,0.0
845,purity,0.0
846,purified,0.0
847,purgatory,0.0
848,purest,0.0
849,purely,0.0
850,purchaser,0.0
851,relax,0.0
852,purchase,0.0
853,puppet,0.0
854,pub,0.0
855,pt,0.0
856,psychology,0.0
857,protection,0.0
858,providence,0.0
859,provided,0.0
860,provide,0.0
861,proved,0.0
862,prove,0.0
863,provable,0.0
864,proudly,0.0
865,proud,0.0
866,prototype,0.0
867,protect,0.0
868,psychologically,0.0
869,prosperous,0.0
870,prosperity,0.0
871,prospect,0.0
872,proscribed,0.0
873,relieving,0.0
874,propædeutic,0.0
875,propter,0.0
876,religion,0.0
877,propriæ,0.0
878,provides,0.0
879,providing,0.0
880,province,0.0
881,provincialism,0.0
882,psychological,0.0
883,præmium,0.0
884,præliminaris,0.0
885,præjudicium,0.0
886,præferre,0.0
887,prædisposito,0.0
888,præceptivæ,0.0
889,præceptiva,0.0
890,præcepta,0.0
891,præceps,0.0
892,prussian,0.0
893,prussia,0.0
894,released,0.0
895,releasing,0.0
896,relief,0.0
897,prudence,0.0
898,proximate,0.0
899,provision,0.0
900,proving,0.0
901,00,0.0
902,patch,0.0
903,perfection,0.0
904,meddle,0.0
905,meiklejohn,0.0
906,meeting,0.0
907,meet,0.0
908,medley,0.0
909,medium,0.0
910,meditation,0.0
911,medio,0.0
912,medicine,0.0
913,medical,0.0
914,mediate,0.0
915,mechanism,0.0
916,meal,0.0
917,mechanically,0.0
918,mechanical,0.0
919,mechanic,0.0
920,measure,0.0
921,meantime,0.0
922,meant,0.0
923,meanness,0.0
924,meaning,0.0
925,meanest,0.0
926,mealtime,0.0
927,meiklejohns,0.0
928,melancholy,0.0
929,melting,0.0
930,member,0.0
931,metaphysic,0.0
932,metaph,0.0
933,met,0.0
934,meræ,0.0
935,meritum,0.0
936,meritorious,0.0
937,merit,0.0
938,mere,0.0
939,mercy,0.0
940,merchants,0.0
941,merchant,0.0
942,mentioned,0.0
943,mention,0.0
944,mental,0.0
945,menschenliebe,0.0
946,mendelssohn,0.0
947,mendacium,0.0
948,memory,0.0
949,memorandum,0.0
950,memoranda,0.0
951,memoir,0.0
952,meals,0.0
953,meagre,0.0
954,metaphysics,0.0
955,manifestation,0.0
956,mark,0.0
957,marionette,0.0
958,marine,0.0
959,march,0.0
960,mar,0.0
961,manuscript,0.0
962,manufacture,0.0
963,mankind,0.0
964,manifold,0.0
965,manifested,0.0
966,manifest,0.0
967,maximum,0.0
968,manhood,0.0
969,manhater,0.0
970,mangeln,0.0
971,mandeville,0.0
972,mandati,0.0
973,management,0.0
974,managed,0.0
975,manage,0.0
976,malus,0.0
977,malum,0.0
978,marked,0.0
979,market,0.0
980,marriage,0.0
981,married,0.0
982,maxims,0.0
983,maxime,0.0
984,mature,0.0
985,matter,0.0
986,mathematics,0.0
987,mathematician,0.0
988,mathematically,0.0
989,mathematical,0.0
990,materie,0.0
991,materially,0.0
992,materiale,0.0
993,mastery,0.0
994,masterwork,0.0
995,masterly,0.0
996,master,0.0
997,massacre,0.0
998,mass,0.0
999,marvellous,0.0
1000,martial,0.0
1001,marrying,0.0
1002,marry,0.0
1003,metaphysical,0.0
1004,metaphysicœ,0.0
1005,perfect,0.0
1006,mocking,0.0
1007,modesty,0.0
1008,modest,0.0
1009,modern,0.0
1010,moderation,0.0
1011,moderately,0.0
1012,moderate,0.0
1013,model,0.0
1014,mode,0.0
1015,modalitythe,0.0
1016,modality,0.0
1017,mixture,0.0
1018,missed,0.0
1019,mixing,0.0
1020,mixed,0.0
1021,mit,0.0
1022,misused,0.0
1023,misuse,0.0
1024,misunderstood,0.0
1025,misunderstanding,0.0
1026,misunderstand,0.0
1027,mistook,0.0
1028,mistaken,0.0
1029,modi,0.0
1030,modification,0.0
1031,modus,0.0
1032,mogliche,0.0
1033,moraliter,0.0
1034,moralitas,0.0
1035,moralist,0.0
1036,moralis,0.0
1037,morale,0.0
1038,moored,0.0
1039,moon,0.0
1040,month,0.0
1041,montaigne,0.0
1042,monstrosity,0.0
1043,monster,0.0
1044,monsoon,0.0
1045,moneymaking,0.0
1046,money,0.0
1047,monde,0.0
1048,monatsschrift,0.0
1049,monarchy,0.0
1050,momentary,0.0
1051,moment,0.0
1052,moisture,0.0
1053,mohammed,0.0
1054,mistake,0.0
1055,miss,0.0
1056,metaphysik,0.0
1057,mighty,0.0
1058,minded,0.0
1059,mind,0.0
1060,millennium,0.0
1061,mill,0.0
1062,milky,0.0
1063,militant,0.0
1064,mile,0.0
1065,mildest,0.0
1066,mild,0.0
1067,milan,0.0
1068,midst,0.0
1069,mispronunciation,0.0
1070,middle,0.0
1071,microscope,0.0
1072,micrology,0.0
1073,michaelis,0.0
1074,meum,0.0
1075,methodology,0.0
1076,methodically,0.0
1077,methodical,0.0
1078,method,0.0
1079,metaphysische,0.0
1080,mine,0.0
1081,mingle,0.0
1082,mingles,0.0
1083,minimum,0.0
1084,misprint,0.0
1085,misology,0.0
1086,misled,0.0
1087,misleading,0.0
1088,mislead,0.0
1089,misinterpretation,0.0
1090,misfortune,0.0
1091,misery,0.0
1092,miserly,0.0
1093,miserable,0.0
1094,misdeed,0.0
1095,misconception,0.0
1096,mischievous,0.0
1097,mischief,0.0
1098,misapprehension,0.0
1099,misapplied,0.0
1100,misanthropy,0.0
1101,minute,0.0
1102,minus,0.0
1103,minor,0.0
1104,minister,0.0
1105,malignant,0.0
1106,malignancy,0.0
1107,malice,0.0
1108,lessen,0.0
1109,lex,0.0
1110,lewd,0.0
1111,leverage,0.0
1112,level,0.0
1113,letting,0.0
1114,letter,0.0
1115,lest,0.0
1116,lesson,0.0
1117,lessing,0.0
1118,lessened,0.0
1119,leonhard,0.0
1120,legis,0.0
1121,lent,0.0
1122,lengthened,0.0
1123,length,0.0
1124,leibnitz,0.0
1125,legitimation,0.0
1126,legitimately,0.0
1127,legitimate,0.0
1128,legislator,0.0
1129,legislative,0.0
1130,legislation,0.0
1131,li,0.0
1132,liability,0.0
1133,liable,0.0
1134,liar,0.0
1135,liked,0.0
1136,liii,0.0
1137,lii,0.0
1138,lightly,0.0
1139,lighter,0.0
1140,lightened,0.0
1141,lighten,0.0
1142,light,0.0
1143,lieth,0.0
1144,lied,0.0
1145,liebt,0.0
1146,licitum,0.0
1147,licet,0.0
1148,licensing,0.0
1149,library,0.0
1150,liberty,0.0
1151,libertatis,0.0
1152,libertati,0.0
1153,libertas,0.0
1154,liberal,0.0
1155,libera,0.0
1156,legislating,0.0
1157,legion,0.0
1158,mali,0.0
1159,lawfully,0.0
1160,lead,0.0
1161,laying,0.0
1162,lay,0.0
1163,laxer,0.0
1164,lax,0.0
1165,lawlessness,0.0
1166,lawless,0.0
1167,lawgiving,0.0
1168,lawgiver,0.0
1169,lawfulness,0.0
1170,lawful,0.0
1171,legibus,0.0
1172,lawabiding,0.0
1173,laughing,0.0
1174,laugh,0.0
1175,laudatur,0.0
1176,latum,0.0
1177,latter,0.0
1178,latitudo,0.0
1179,latitudinarian,0.0
1180,latitude,0.0
1181,latin,0.0
1182,leading,0.0
1183,leadingstrings,0.0
1184,leads,0.0
1185,leaf,0.0
1186,legi,0.0
1187,leges,0.0
1188,legally,0.0
1189,legality,0.0
1190,legalitas,0.0
1191,legal,0.0
1192,legacy,0.0
1193,led,0.0
1194,lecturing,0.0
1195,lecturerooms,0.0
1196,lectureroom,0.0
1197,lecturer,0.0
1198,lecture,0.0
1199,leaving,0.0
1200,leave,0.0
1201,learning,0.0
1202,learnedly,0.0
1203,learned,0.0
1204,learn,0.0
1205,leap,0.0
1206,leagued,0.0
1207,likely,0.0
1208,likewise,0.0
1209,liking,0.0
1210,lustful,0.0
1211,lxiii,0.0
1212,lxii,0.0
1213,lxi,0.0
1214,lx,0.0
1215,lviii,0.0
1216,lvii,0.0
1217,lvi,0.0
1218,lv,0.0
1219,luxury,0.0
1220,luther,0.0
1221,lust,0.0
1222,limb,0.0
1223,lunatic,0.0
1224,lunar,0.0
1225,luke,0.0
1226,lucid,0.0
1227,loyalty,0.0
1228,loyal,0.0
1229,lowest,0.0
1230,lowering,0.0
1231,lowered,0.0
1232,lower,0.0
1233,lxiv,0.0
1234,lxx,0.0
1235,lying,0.0
1236,lædit,0.0
1237,malady,0.0
1238,making,0.0
1239,maker,0.0
1240,major,0.0
1241,majesty,0.0
1242,maintenance,0.0
1243,maintains,0.0
1244,maintained,0.0
1245,maintain,0.0
1246,main,0.0
1247,magnitude,0.0
1248,magnanimous,0.0
1249,magic,0.0
1250,magazine,0.0
1251,mag,0.0
1252,madness,0.0
1253,madman,0.0
1254,mackintosh,0.0
1255,machinery,0.0
1256,machine,0.0
1257,lügen,0.0
1258,low,0.0
1259,loving,0.0
1260,lover,0.0
1261,lively,0.0
1262,lived,0.0
1263,live,0.0
1264,liv,0.0
1265,literature,0.0
1266,literary,0.0
1267,literally,0.0
1268,literal,0.0
1269,litany,0.0
1270,lister,0.0
1271,listened,0.0
1272,listen,0.0
1273,lip,0.0
1274,lion,0.0
1275,link,0.0
1276,line,0.0
1277,limitless,0.0
1278,limiting,0.0
1279,limited,0.0
1280,limitation,0.0
1281,limit,0.0
1282,lime,0.0
1283,liveliness,0.0
1284,living,0.0
1285,loved,0.0
1286,lix,0.0
1287,loth,0.0
1288,lot,0.0
1289,lost,0.0
1290,loss,0.0
1291,losing,0.0
1292,loses,0.0
1293,lose,0.0
1294,lord,0.0
1295,looking,0.0
1296,looked,0.0
1297,longmans,0.0
1298,longing,0.0
1299,longest,0.0
1300,longer,0.0
1301,london,0.0
1302,logical,0.0
1303,logic,0.0
1304,lofty,0.0
1305,loftiness,0.0
1306,loftiest,0.0
1307,locke,0.0
1308,morality,0.0
1309,morally,0.0
1310,morallydirected,0.0
1311,oracle,0.0
1312,ordinary,0.0
1313,ordinance,0.0
1314,orderly,0.0
